id,question,category,source
156,What technology do you wish had never been invented?,daily_life,database_export
157,How do you stay informed about current events?,daily_life,database_export
158,What's your philosophy on screen time and digital wellness?,daily_life,database_export
159,How has remote work or digital communication affected you?,daily_life,database_export
160,What aspects of pre-internet life do you miss?,daily_life,database_export
161,How do you handle change and uncertainty?,philosophy_values,database_export
162,What's something you believed strongly when you were younger that you don't believe now?,philosophy_values,database_export
163,How do you push yourself out of your comfort zone?,philosophy_values,database_export
164,What's your approach to personal growth and self-improvement?,philosophy_values,database_export
165,How do you handle failure and setbacks?,philosophy_values,database_export
166,What patterns in your life would you like to break?,philosophy_values,database_export
167,How do you measure personal progress?,philosophy_values,database_export
168,What's the difference between who you are and who you want to be?,philosophy_values,database_export
169,How do you stay curious and keep learning?,philosophy_values,database_export
170,What advice would you give your younger self?,philosophy_values,database_export
171,What is your most cherished childhood memory?,personal_history,database_export
172,What life advice would you give to future generations?,philosophy_values,database_export
173,Tell me about a time when you faced a significant challenge.,personal,database_export
174,What traditions are most important to your family?,relationships,database_export
175,What are you most proud of in your life?,personal_history,database_export
248,What's the hardest part about managing people?,career,database_export
255,How do you build trust within a team?,career,database_export
260,How do you deal with family gatherings when there's tension?,relationships,database_export
261,What's your philosophy on lending money to friends or family?,relationships,database_export
272,What's your philosophy on marriage and long-term commitment?,relationships,database_export
274,What's the best relationship advice you'd give to someone?,relationships,database_export
278,How do you deal with creative blocks or lack of inspiration?,hobbies,database_export
284,What's your opinion on separating art from the artist?,hobbies,database_export
290,How do you use humor in your daily interactions?,hobbies,database_export
295,What's your philosophy on social media and digital communication?,hobbies,database_export
346,What was the most significant moment of transition in your adult life?,personal_history,database_export
347,"How did you feel on your 18th birthday, and what did it represent to you?",personal_history,database_export
348,"What was your biggest fear about growing up, and did it come true?",personal_history,database_export
349,Describe a time when you felt like you had truly become an adult.,personal_history,database_export
350,What milestone are you most proud of achieving in your life?,personal_history,database_export
351,How has your definition of success changed over the years?,personal_history,database_export
352,What was the hardest transition you have ever made?,personal_history,database_export
353,"When did you first feel financially independent, and what did that mean to you?",personal_history,database_export
354,What life event made you realize you were getting older?,personal_history,database_export
355,How did you celebrate or mark important milestones in your life?,personal_history,database_export
356,What transition in your life took longer than you expected?,personal_history,database_export
357,When did you first feel like you had your life figured out?,personal_history,database_export
358,What milestone do you wish you had celebrated more fully?,personal_history,database_export
359,How did moving out of your childhood home change you?,personal_history,database_export
360,What was the most unexpected turn your life has taken?,personal_history,database_export
361,"When did you first feel like you were living your own life, not someone else''s vision?",personal_history,database_export
362,What life phase do you miss most and why?,personal_history,database_export
363,How did your first job change your perspective on life?,personal_history,database_export
364,What milestone felt anticlimactic when you reached it?,personal_history,database_export
365,When did you first feel like you belonged somewhere?,personal_history,database_export
366,What life transition taught you the most about yourself?,personal_history,database_export
367,How has your relationship with your parents changed as you''ve aged?,personal_history,database_export
368,What was the first major decision you made entirely on your own?,personal_history,database_export
369,When did you realize your childhood was truly over?,personal_history,database_export
370,What life stage are you most looking forward to?,personal_history,database_export
371,How did your first heartbreak change your view of love?,personal_history,database_export
372,What was the most liberating moment of your adult life?,personal_history,database_export
373,When did you first feel truly responsible for another person?,personal_history,database_export
374,What milestone took more courage than you expected?,personal_history,database_export
375,How did your first experience of independence feel?,personal_history,database_export
376,What life transition made you appreciate what you had left behind?,personal_history,database_export
377,When did you first feel like you were making a difference in the world?,personal_history,database_export
378,What was the most significant birthday you''ve had and why?,personal_history,database_export
379,How has your perspective on aging changed as you''ve gotten older?,personal_history,database_export
380,What milestone are you still working toward?,personal_history,database_export
381,When did you first feel like you had wisdom to share with others?,personal_history,database_export
382,What life phase brought you the most personal growth?,personal_history,database_export
383,How did your first major loss change your perspective on life?,personal_history,database_export
384,What transition forced you to discover strength you didn''t know you had?,personal_history,database_export
385,When did you first feel like you were exactly where you were supposed to be?,personal_history,database_export
386,What life change initially scared you but ended up being wonderful?,personal_history,database_export
387,How has your definition of home changed throughout your life?,personal_history,database_export
388,What milestone made you feel most connected to previous generations?,personal_history,database_export
389,When did you first feel like you were becoming the person you wanted to be?,personal_history,database_export
390,What life transition taught you the most about resilience?,personal_history,database_export
391,How did your priorities change after a major life event?,personal_history,database_export
392,What milestone brought you closer to your true self?,personal_history,database_export
393,When did you first feel like you had overcome a major challenge?,personal_history,database_export
394,What life phase taught you the most about patience?,personal_history,database_export
395,How has your relationship with time changed as you''ve experienced more of life?,personal_history,database_export
398,What was the most romantic gesture you''ve ever experienced or witnessed?,relationships,database_export
400,"What was your most significant relationship, and what did it teach you?",relationships,database_export
401,How do you know when you''re in love versus just infatuated?,romantic_love,database_export
402,What was the hardest part about your first serious breakup?,romantic_love,database_export
403,What qualities do you value most in a romantic partner?,relationships,database_export
404,How has your approach to relationships evolved with experience?,relationships,database_export
405,What was the most important lesson you learned from a past relationship?,romantic_love,database_export
406,Describe a time when love surprised you.,romantic_love,database_export
411,How has your definition of soulmate changed over time?,relationships,database_export
412,What was the most difficult conversation you''ve had in a relationship?,romantic_love,database_export
413,How do you balance independence and togetherness in love?,romantic_love,database_export
414,"What was your experience of love at first sight, if you''ve had one?",romantic_love,database_export
415,How has technology changed the way people date and find love?,relationships,database_export
416,What was the most meaningful gift you''ve given or received from a partner?,romantic_love,database_export
418,What was your experience of long-distance love?,relationships,database_export
421,How do you maintain individual identity while being part of a couple?,romantic_love,database_export
422,What was your experience of loving someone who couldn''t love you back?,relationships,database_export
423,How has your family background influenced your approach to love?,relationships,database_export
424,What was the most passionate period of your life?,relationships,database_export
425,How do you rebuild trust after it''s been broken in a relationship?,romantic_love,database_export
426,What was your experience of falling out of love?,romantic_love,database_export
427,How has your understanding of attraction evolved over time?,relationships,database_export
433,How do you know when it''s time to let go of a relationship?,relationships,database_export
434,What was your experience of second-chance love?,relationships,database_export
437,How do you maintain romance in everyday life?,relationships,database_export
438,What was your experience of unrequited love?,relationships,database_export
439,How has your communication style in relationships evolved?,romantic_love,database_export
440,What was the most unexpected way you''ve expressed love?,relationships,database_export
442,What was your experience of love during difficult times?,relationships,database_export
443,How has your understanding of intimacy deepened over time?,relationships,database_export
444,What was the most healing relationship you''ve ever had?,romantic_love,database_export
446,What was your experience of loving someone through their struggles?,relationships,database_export
447,How has your definition of loyalty in relationships evolved?,romantic_love,database_export
448,What was the most spontaneous romantic thing you''ve ever done?,romantic_love,database_export
449,How do you maintain hope in love after heartbreak?,romantic_love,database_export
451,How has your understanding of emotional intimacy grown?,romantic_love,database_export
453,How do you show love to someone whose love language is different from yours?,romantic_love,database_export
454,What was your experience of loving someone who was afraid of commitment?,romantic_love,database_export
455,How has your capacity for forgiveness in love been tested?,romantic_love,database_export
456,What was the most patient you''ve ever been for love?,romantic_love,database_export
457,How do you maintain your sense of self while deeply in love?,romantic_love,database_export
458,What was your experience of loving someone who challenged you to grow?,romantic_love,database_export
459,How has your understanding of what makes a relationship last changed?,romantic_love,database_export
460,What was the most courageous thing you''ve done for love?,romantic_love,database_export
461,How do you handle the fear of losing someone you love?,romantic_love,database_export
462,What was your experience of finding love later in life?,romantic_love,database_export
463,How has your understanding of sexual intimacy evolved in relationships?,romantic_love,database_export
464,What was the most unexpected place or way you found love?,romantic_love,database_export
465,How do you nurture love during busy or stressful periods?,romantic_love,database_export
466,What was your experience of loving someone your family didn''t approve of?,romantic_love,database_export
467,How has your relationship with boundaries in love evolved?,romantic_love,database_export
468,What was the most important thing you learned about yourself through love?,romantic_love,database_export
469,How do you maintain individual dreams while building a life with someone?,romantic_love,database_export
470,What was your experience of loving someone through addiction or illness?,romantic_love,database_export
471,How has your understanding of what constitutes a healthy relationship changed?,romantic_love,database_export
472,What was the most beautiful way you''ve seen love expressed?,romantic_love,database_export
473,How do you handle loving someone who loves differently than you do?,romantic_love,database_export
474,What was your experience of loving someone from your past who came back into your life?,romantic_love,database_export
475,How has your understanding of commitment deepened over time?,romantic_love,database_export
476,What was the most profound moment of connection you''ve experienced in love?,romantic_love,database_export
477,How do you love someone who has been hurt badly in the past?,romantic_love,database_export
478,What was your experience of falling in love with your best friend?,romantic_love,database_export
479,How has your understanding of what you need in love changed?,romantic_love,database_export
480,What was the most difficult truth you''ve had to accept about love?,romantic_love,database_export
481,How do you maintain hope for love when you''ve been disappointed?,romantic_love,database_export
482,What was your experience of loving someone who lived very differently than you?,romantic_love,database_export
483,How has your capacity for emotional vulnerability grown in relationships?,romantic_love,database_export
484,What was the most important lesson love has taught you about yourself?,romantic_love,database_export
485,How do you love someone while maintaining your own emotional health?,romantic_love,database_export
486,What was your experience of loving someone who wasn''t ready for the kind of love you offered?,romantic_love,database_export
487,How has your understanding of the role of friendship in romantic love evolved?,romantic_love,database_export
488,What was the most generous act of love you''ve witnessed or experienced?,romantic_love,database_export
489,How do you handle the evolution and changes that naturally occur in long-term love?,romantic_love,database_export
490,What was your experience of loving someone who helped you heal from past wounds?,romantic_love,database_export
491,"How has your relationship with the concept of ""forever"" in love changed?",romantic_love,database_export
492,What was the most profound way love has changed your perspective on life?,romantic_love,database_export
493,How do you continue growing together while honoring individual growth in love?,romantic_love,database_export
494,What was your experience of loving someone who loved you exactly as you are?,romantic_love,database_export
495,How has love taught you about the depth of human connection and understanding?,romantic_love,database_export
497,How has your relationship with your parents evolved as you''ve gotten older?,relationships,database_export
498,What was your experience of becoming a parent for the first time?,relationships,database_export
500,What family tradition means the most to you and why?,relationships,database_export
501,How do you balance being an individual with being part of a family?,relationships,database_export
502,What was the most challenging aspect of raising children?,family_parenting,database_export
503,How has your definition of family changed throughout your life?,relationships,database_export
504,What was your experience of caring for aging parents?,relationships,database_export
505,How do you handle conflict within your family?,relationships,database_export
506,What was the proudest moment you''ve had as a parent?,relationships,database_export
507,How has your parenting style differed from your parents''?,family_parenting,database_export
508,What was your experience of sibling relationships growing up?,relationships,database_export
509,How do you maintain close family relationships across distance or time?,relationships,database_export
510,What was the most difficult conversation you''ve had with a family member?,relationships,database_export
511,How has becoming a parent changed your relationship with your own parents?,family_parenting,database_export
512,What family pattern or cycle did you consciously choose to break?,relationships,database_export
515,How has your understanding of unconditional love been shaped by family?,relationships,database_export
516,What was the most important value you wanted to pass on to your children?,relationships,database_export
518,What was your experience of being the primary caregiver in your family?,relationships,database_export
520,What was the most meaningful family moment you''ve experienced?,relationships,database_export
521,How do you maintain family connections while respecting everyone''s autonomy?,relationships,database_export
522,What was your experience of having children at different stages of your life?,family_parenting,database_export
523,How has your family helped shape your values and beliefs?,relationships,database_export
524,What was the most challenging family decision you''ve had to make?,relationships,database_export
526,What was your experience of watching your children become independent adults?,relationships,database_export
530,What was your experience of being a single parent?,relationships,database_export
531,How has your family''s cultural background influenced your parenting?,family_parenting,database_export
532,What was the most difficult phase of your child''s development to navigate?,relationships,database_export
533,How do you balance your needs with your family''s needs?,relationships,database_export
535,How has your understanding of what makes a healthy family evolved?,relationships,database_export
536,What was the most rewarding aspect of raising children?,relationships,database_export
537,How do you help your children develop their own identity while staying connected?,family_parenting,database_export
539,How has your family taught you about forgiveness and second chances?,relationships,database_export
540,What was the most important thing you learned from a family mistake?,relationships,database_export
541,How do you handle the changing dynamics as your family grows and evolves?,family_parenting,database_export
542,What was your experience of family loyalty and its limits?,relationships,database_export
543,How has your family influenced your approach to relationships outside the family?,relationships,database_export
544,What was the most profound lesson your child taught you?,relationships,database_export
546,What was your experience of family during major life transitions?,relationships,database_export
548,What was the most difficult family secret or truth you''ve had to handle?,relationships,database_export
549,How do you help your family members through their individual struggles?,relationships,database_export
550,What was your experience of creating chosen family or non-traditional family structures?,family_parenting,database_export
551,How has your family shaped your understanding of love and commitment?,relationships,database_export
555,How has your family taught you about communication and emotional expression?,relationships,database_export
556,What was the most healing family experience you''ve had?,family_parenting,database_export
558,What was your experience of family celebrations and gatherings?,relationships,database_export
559,How has your family influenced your career and life choices?,relationships,database_export
560,What was the most important family conversation you''ve ever had?,relationships,database_export
563,How has your family taught you about strength and vulnerability?,relationships,database_export
565,How do you create emotional safety within your family?,relationships,database_export
566,What was your experience of family during economic hardship?,family_parenting,database_export
568,What was the most joyful family surprise or unexpected moment?,relationships,database_export
569,How do you help family members pursue their dreams while staying connected?,relationships,database_export
570,What was your experience of family dynamics during your young adult years?,relationships,database_export
571,How has your family taught you about the importance of presence and attention?,family_parenting,database_export
572,What was the most important family ritual or routine in your household?,relationships,database_export
574,What was your experience of family conflict and resolution?,family_parenting,database_export
575,How has your family influenced your spiritual or philosophical beliefs?,relationships,database_export
576,What was the most profound way your family has supported you through difficulty?,relationships,database_export
578,What was your experience of family during major holidays or special occasions?,relationships,database_export
579,How has your family taught you about the balance between togetherness and independence?,relationships,database_export
580,What was the most important promise you''ve made to your family?,relationships,database_export
581,How do you handle family expectations about your life choices?,relationships,database_export
583,How has your family shaped your understanding of what home means?,family_parenting,database_export
584,What was the most challenging family dynamic you''ve had to navigate?,relationships,database_export
585,How do you create lasting memories with your family?,relationships,database_export
587,How has your family taught you about the importance of history and legacy?,relationships,database_export
588,What was the most unexpected lesson you learned from a family experience?,relationships,database_export
589,How do you help your family grow and evolve together over time?,relationships,database_export
590,What was your experience of family during times of celebration and joy?,relationships,database_export
591,How has your family influenced your understanding of commitment and loyalty?,relationships,database_export
592,What was the most important family decision that involved everyone''s input?,family_parenting,database_export
594,What was your experience of family love during times of disagreement or conflict?,relationships,database_export
597,How has your understanding of friendship evolved as you''ve gotten older?,relationships,database_export
599,How do you maintain long-distance friendships over time?,relationships,database_export
601,How has social media changed the nature of friendship in your experience?,relationships,database_export
602,What qualities do you value most in a close friend?,relationships,database_export
603,How do you balance multiple friendships without neglecting any?,relationships,database_export
605,How has your social circle changed throughout different life phases?,relationships,database_export
606,What was the most meaningful act of friendship you''ve witnessed or experienced?,relationships,database_export
607,How do you handle conflict within your friend group?,friendships_social,database_export
611,How do you maintain friendships while going through major life changes?,relationships,database_export
612,What was your experience of friendship during your teenage years?,relationships,database_export
613,How has your definition of loyalty in friendship evolved?,friendships_social,database_export
614,What was the most challenging period for your social relationships?,relationships,database_export
617,How has your approach to making new friends changed over the years?,relationships,database_export
618,What was the most profound conversation you''ve had with a friend?,friendships_social,database_export
619,How do you balance being a good friend while maintaining your own boundaries?,relationships,database_export
620,What was your experience of reconnecting with old friends after years apart?,relationships,database_export
622,What was the most generous thing you''ve done for a friend?,relationships,database_export
623,How do you handle jealousy or competition within friendships?,relationships,database_export
625,How has your social anxiety or confidence affected your friendships?,friendships_social,database_export
627,How do you maintain authenticity in your friendships?,relationships,database_export
628,What was your experience of group dynamics and friend circles?,relationships,database_export
630,What was the most difficult truth a friend ever told you?,relationships,database_export
632,What was your experience of friendship during major life transitions?,relationships,database_export
635,How do you show up for friends during their celebrations and successes?,friendships_social,database_export
638,What was the most adventurous or spontaneous thing you''ve done with friends?,relationships,database_export
640,What was your experience of friendship during times of personal crisis?,relationships,database_export
641,How has your capacity for vulnerable sharing in friendship grown?,friendships_social,database_export
642,What was the most important lesson you learned from losing a friend?,relationships,database_export
643,How do you balance your romantic relationships with your friendships?,relationships,database_export
644,What was your experience of friendship within hobby or interest-based communities?,friendships_social,database_export
645,How has your understanding of what it means to be a good friend evolved?,relationships,database_export
647,How do you handle the natural ebb and flow of friendship intensity?,relationships,database_export
648,What was your experience of mentorship within friendship relationships?,relationships,database_export
649,How has your approach to conflict resolution in friendship changed?,relationships,database_export
651,How do you maintain connection with friends who have very different lifestyles?,relationships,database_export
653,How has your understanding of trust in friendship been tested and strengthened?,relationships,database_export
654,What was the most patient you''ve ever been with a friend?,relationships,database_export
655,How do you create and maintain meaningful traditions with your friends?,relationships,database_export
656,What was your experience of friendship jealousy and how did you handle it?,relationships,database_export
657,How has your social energy and capacity for friendship changed over time?,friendships_social,database_export
658,What was the most profound way a friend has influenced your life perspective?,friendships_social,database_export
659,How do you handle friends who consistently make choices you disagree with?,relationships,database_export
660,What was your experience of friendship during your college or young adult years?,relationships,database_export
661,How has your relationship with social comparison affected your friendships?,relationships,database_export
663,How do you balance honesty and kindness when friends ask for your opinion?,relationships,database_export
664,What was your experience of friendship during times of celebration and joy?,relationships,database_export
665,How has your understanding of personal space and boundaries in friendship evolved?,relationships,database_export
667,How do you handle the disappointment of unmet expectations in friendship?,friendships_social,database_export
668,What was your experience of friendship across significant age differences?,relationships,database_export
669,How has your capacity for forgiveness been tested and developed through friendship?,relationships,database_export
671,How do you maintain your individual identity within close friendship groups?,relationships,database_export
673,How has your understanding of emotional intimacy in platonic relationships grown?,relationships,database_export
676,What was your experience of friendship during your parenting years?,friendships_social,database_export
677,How has your relationship with vulnerability and openness in friendship changed?,relationships,database_export
678,What was the most important boundary you''ve had to establish with a friend?,relationships,database_export
679,How do you handle the evolution of friendship roles and dynamics over time?,relationships,database_export
681,How has your understanding of what it means to be present for friends evolved?,relationships,database_export
682,What was the most creative or unique way you''ve maintained a friendship?,relationships,database_export
683,How do you balance giving advice with simply listening in your friendships?,relationships,database_export
684,What was your experience of friendship during your career development years?,relationships,database_export
685,How has your capacity for celebrating friends'' successes grown over time?,friendships_social,database_export
687,How do you create space for new friendships while honoring existing ones?,relationships,database_export
688,What was your experience of friendship within spiritual or philosophical communities?,relationships,database_export
689,How has your understanding of the role of fun and play in friendship evolved?,friendships_social,database_export
690,What was the most important lesson about human nature you''ve learned through friendship?,relationships,database_export
691,How do you handle friends who are going through major life crises?,relationships,database_export
692,What was your experience of friendship during times of personal uncertainty?,relationships,database_export
693,How has your relationship with commitment and consistency in friendship developed?,friendships_social,database_export
694,What was the most unexpected source of friendship support you''ve experienced?,friendships_social,database_export
695,How has friendship taught you about the complexity and beauty of human connection?,friendships_social,database_export
698,What was the most challenging period in your marriage and how did you navigate it?,marriage_partnerships,database_export
699,How do you maintain intimacy and connection in a long-term partnership?,relationships,database_export
700,What was your wedding day like and what did it represent to you?,marriage_partnerships,database_export
701,How has your understanding of commitment deepened through marriage?,marriage_partnerships,database_export
702,What was the most important compromise you''ve made in your partnership?,relationships,database_export
703,How do you handle financial decisions and money management as a couple?,marriage_partnerships,database_export
704,What was your experience of the transition from dating to marriage?,relationships,database_export
705,How has your partnership changed after having children?,marriage_partnerships,database_export
706,What was the most romantic period in your marriage or partnership?,marriage_partnerships,database_export
707,How do you maintain individual identity while being part of a committed couple?,relationships,database_export
708,What was your experience of marriage counseling or relationship therapy?,marriage_partnerships,database_export
710,What was the biggest surprise about married life that you didn''t expect?,marriage_partnerships,database_export
711,How do you handle conflict and disagreement in your partnership?,marriage_partnerships,database_export
712,What was your experience of renewing your vows or recommitting to your partner?,marriage_partnerships,database_export
713,How has your partnership weathered major life changes and transitions?,marriage_partnerships,database_export
714,What was the most meaningful tradition you''ve created as a couple?,marriage_partnerships,database_export
715,How do you balance time together with time apart in your relationship?,marriage_partnerships,database_export
716,What was your experience of long-term partnership without marriage?,marriage_partnerships,database_export
717,How has your partnership influenced your personal growth and development?,marriage_partnerships,database_export
718,What was the most difficult conversation you''ve had with your partner?,marriage_partnerships,database_export
719,How do you maintain romance and passion in a long-term relationship?,marriage_partnerships,database_export
720,What was your experience of marriage later in life or as a second marriage?,marriage_partnerships,database_export
721,How has your partnership handled external pressures and challenges?,marriage_partnerships,database_export
722,What was the most supportive thing your partner has done during a difficult time?,marriage_partnerships,database_export
723,How do you handle different life goals and dreams within your partnership?,marriage_partnerships,database_export
724,What was your experience of the empty nest phase in your marriage?,marriage_partnerships,database_export
725,How has your physical and emotional intimacy evolved over the years?,marriage_partnerships,database_export
726,What was the most unexpected way your partner has changed or grown?,marriage_partnerships,database_export
727,"How do you handle the balance of work, family, and relationship time?",marriage_partnerships,database_export
729,"How has your partnership dealt with illness, health challenges, or aging?",relationships,database_export
731,How do you maintain friendship and companionship within your romantic partnership?,relationships,database_export
732,What was your experience of partnership during career changes or professional challenges?,marriage_partnerships,database_export
733,How has your partnership influenced your relationship with both sets of families?,relationships,database_export
734,What was the most healing aspect of your marriage or partnership?,relationships,database_export
735,How do you celebrate milestones and anniversaries in your relationship?,relationships,database_export
738,What was the most profound moment of connection you''ve shared with your partner?,relationships,database_export
739,How do you handle different approaches to parenting within your partnership?,relationships,database_export
740,What was your experience of rekindling romance after a difficult period?,marriage_partnerships,database_export
741,How has your partnership taught you about forgiveness and second chances?,relationships,database_export
744,What was your experience of growing old together with your partner?,relationships,database_export
745,How has your partnership demonstrated the depth and complexity of human love?,relationships,database_export
747,How has the dating landscape changed since you first started dating?,relationships,database_export
